"","x","y"
"1",3.29032187708653,5.66256110742688
"2",1.57990536051802,4.77293556788936
"3",3.70462855855003,5.92061738856137
"4",1.35851812968031,5.60727873723954
"5",3.2037781146355,4.7239628196694
"6",2.07195510375313,5.42399290110916
"7",2.69724391927011,4.25589937064797
"8",6.6687111929059,4.60063104564324
"9",5.7767186449375,5.31841812608764
"10",4.85707526500337,4.90792529191822
"11",4.80943728671409,4.12764532770962
"12",5.170640054252,4.39006682438776
"13",2.51587175270542,5.66725203813985
"14",7.01295392257161,4.44181091571227
"15",4.21591746113263,4.45294173341244
"16",4.67969093848951,4.62385429395363
"17",4.14556963667274,4.4755146401003
"18",1.74286422412843,4.18165637552738
"19",2.25127505757846,5.7277389857918
"20",1.16168949804269,4.31003239378333
"21",4.16349340872839,5.86386328795925
"22",1.70609727436677,4.79680293658748
"23",4.32311147470027,4.55575236026198
"24",2.35292537002824,4.50352497259155
"25",6.8467076019384,5.41533837560564
"26",2.0745703082066,4.47705947281793
"27",1.73582269265316,4.73473854595795
"28",6.94116697404534,4.57385358260944
"29",5.45770260528661,5.74856464704499
"30",3.11049588248134,4.93366182921454
"31",5.9562359941192,5.14405336976051
"32",2.97457074332051,5.89363978430629
"33",3.81472551650368,5.05515687307343
"34",4.83864228068851,4.36502986168489
"35",6.23595517748035,4.65372091857716
"36",3.72356589469127,4.25692586740479
"37",6.00826378772035,4.75650374172255
"38",4.92136101387441,5.05282766185701
"39",6.5918161763344,4.26985284034163
"40",5.27415462778881,4.65874306112528
"41",3.92134485715069,5.27229271549731
"42",6.45908298171125,4.39392590662464
"43",4.64005547733977,5.20735054882243
"44",2.97865450871177,4.50029746536165
"45",2.54916300219484,5.4369314420037
"46",4.6235161606688,5.87215358391404
"47",4.52646227306686,5.16688737971708
"48",5.40984097924083,4.07824646122754
"49",6.46853859215043,4.7547681806609
"50",4.79699780503288,4.70311494171619
"51",6.81392397247255,4.52033959468827
"52",5.43303501084447,4.73355461098254
"53",2.82879382586107,4.82889165636152
"54",3.03681164877489,4.40177657967433
"55",4.15951047674753,4.70914469007403
"56",6.56093907365575,4.61821067612618
"57",1.32980492576025,4.96803147951141
"58",5.75439141313545,5.79469998320565
"59",3.45860481001437,5.33885014988482
"60",3.52799448827282,5.06771370768547
"61",3.08722083307803,4.01251107407734
"62",2.20749529143795,4.03564456291497
"63",6.5659137273673,5.39843290904537
"64",3.14001429136842,5.8577874857001
"65",6.65689725195989,5.59730825433508
"66",4.61666544773616,5.70932119945064
"67",1.42544395104051,5.47133341291919
"68",2.79366638655774,5.65335877565667
"69",0.970450348267332,4.72239041188732
"70",5.79473858340643,4.63103093905374
"71",5.69984114728868,5.44014934403822
"72",4.31320539149456,5.17842424986884
"73",1.55751190730371,5.37944849254563
"74",2.66570201562718,4.50150284077972
"75",6.95923523679376,5.49020581645891
"76",3.46065013124607,5.46787772979587
"77",2.79970236998051,4.75892535177991
"78",3.25232735262252,4.6985894641839
"79",3.45228320290334,4.42465709382668
"80",4.69925368544646,4.59152089711279
