"x"
"1",3
"2",1
"3",4
"4",1
"5",5
"6",9
"7",2
"8",6
"9",5
"10",3
"11",5
"12",8
"13",9
"14",7
"15",9
"16",3
"17",2
"18",3
"19",8
"20",4
"21",6
"22",2
"23",6
"24",4
"25",3
"26",3
"27",8
"28",3
"29",2
"30",7
"31",9
"32",5
"33",0
"34",2
"35",8
"36",8
"37",4
"38",1
"39",9
"40",7
"41",1
"42",6
"43",9
"44",3
"45",9
"46",9
"47",3
"48",7
"49",5
"50",1
"51",0
"52",5
"53",8
"54",2
"55",0
"56",9
"57",7
"58",4
"59",9
"60",4
"61",4
"62",5
"63",9
"64",2
"65",3
"66",0
"67",7
"68",8
"69",1
"70",6
"71",4
"72",0
"73",6
"74",2
"75",8
"76",6
"77",2
"78",0
"79",8
"80",9
"81",9
"82",8
"83",6
"84",2
"85",8
"86",0
"87",3
"88",4
"89",8
"90",2
"91",5
"92",3
"93",4
"94",2
"95",1
"96",1
"97",7
"98",0
"99",6
"100",7
"101",9
"102",8
"103",2
"104",1
"105",4
"106",8
"107",0
"108",8
"109",6
"110",5
"111",1
"112",3
"113",2
"114",8
"115",2
"116",3
"117",0
"118",6
"119",6
"120",4
"121",7
"122",0
"123",9
"124",3
"125",8
"126",4
"127",4
"128",6
"129",0
"130",9
"131",5
"132",5
"133",0
"134",5
"135",8
"136",2
"137",2
"138",3
"139",1
"140",7
"141",2
"142",5
"143",3
"144",5
"145",9
"146",4
"147",0
"148",8
"149",1
"150",2
"151",8
"152",4
"153",8
"154",1
"155",1
"156",1
"157",7
"158",4
"159",5
"160",0
"161",2
"162",8
"163",4
"164",1
"165",0
"166",2
"167",7
"168",0
"169",1
"170",9
"171",3
"172",8
"173",5
"174",2
"175",1
"176",1
"177",0
"178",5
"179",5
"180",5
"181",9
"182",6
"183",4
"184",4
"185",6
"186",2
"187",2
"188",9
"189",4
"190",8
"191",9
"192",5
"193",4
"194",9
"195",3
"196",0
"197",3
"198",8
"199",1
"200",9
"201",6
"202",4
"203",4
"204",2
"205",8
"206",8
"207",1
"208",0
"209",9
"210",7
"211",5
"212",6
"213",6
"214",5
"215",9
"216",3
"217",3
"218",4
"219",4
"220",6
"221",1
"222",2
"223",8
"224",4
"225",7
"226",5
"227",6
"228",4
"229",8
"230",2
"231",3
"232",3
"233",7
"234",8
"235",6
"236",7
"237",8
"238",3
"239",1
"240",6
"241",5
"242",2
"243",7
"244",1
"245",2
"246",0
"247",1
"248",9
"249",0
"250",9
"251",1
"252",4
"253",5
"254",6
"255",4
"256",8
"257",5
"258",6
"259",6
"260",9
"261",2
"262",3
"263",4
"264",6
"265",0
"266",3
"267",4
"268",8
"269",6
"270",1
"271",0
"272",4
"273",5
"274",4
"275",3
"276",2
"277",6
"278",6
"279",4
"280",8
"281",2
"282",1
"283",3
"284",3
"285",9
"286",3
"287",6
"288",0
"289",7
"290",2
"291",6
"292",0
"293",2
"294",4
"295",9
"296",1
"297",4
"298",1
"299",2
"300",7
"301",3
"302",7
"303",2
"304",4
"305",5
"306",8
"307",7
"308",0
"309",0
"310",6
"311",6
"312",0
"313",6
"314",3
"315",1
"316",5
"317",5
"318",8
"319",8
"320",1
"321",7
"322",4
"323",8
"324",8
"325",1
"326",5
"327",2
"328",0
"329",9
"330",2
"331",0
"332",9
"333",6
"334",2
"335",8
"336",2
"337",9
"338",2
"339",5
"340",4
"341",0
"342",9
"343",1
"344",7
"345",1
"346",5
"347",3
"348",6
"349",4
"350",3
"351",6
"352",7
"353",8
"354",9
"355",2
"356",5
"357",9
"358",0
"359",3
"360",6
"361",0
"362",0
"363",1
"364",1
"365",3
"366",3
"367",0
"368",5
"369",3
"370",0
